Title,Lifetime Gross,Year
Madagascar,542063846,2005
World War Z,540455876,2013
The Grinch,540029016,2018
Brave,538983207,2012
The Simpsons Movie,536414293,2007
The Revenant,532950503,2015
Dunkirk,530432122,2017
The Meg,529338515,2018
Ralph Breaks the Internet,529323962,2018
Hotel Transylvania 3: Summer Vacation,528583774,2018
The Boss Baby,527965936,2017
WALL·E,527402840,2008
Godzilla,524978362,2014
How to Train Your Dragon: The Hidden World,524581026,2019
Sherlock Holmes,524028679,2009
Meet the Fockers,522657936,2004
Kung Fu Panda 3,521170825,2016
Terminator 2: Judgment Day,520881154,1991
Ant-Man,519311965,2015
Venom: Let There Be Carnage,506863592,2021
Ghost,505703557,1990
Aladdin,504050219,1992
Rio 2,498781117,2014
Troy,497409852,2004
Toy Story 2,497375381,1999
Elemental,496444308,2023
How to Train Your Dragon,494879860,2010
Twister,494580615,1996
Oz the Great and Powerful,493311825,2013
Clash of the Titans,493214993,2010
Maleficent: Mistress of Evil,491730089,2019
War for the Planet of the Apes,490719763,2017
Shrek,488628188,2001
Mr. & Mrs. Smith,487287646,2005
Angels & Demons,485930816,2009
Teenage Mutant Ninja Turtles,485004754,2014
Bruce Almighty,484592874,2003
Rio,483866772,2011
Star Wars: Episode VI - Return of the Jedi,482466382,1983
Saving Private Ryan,482351251,1998
Rise of the Planet of the Apes,481800873,2011
Puss in Boots: The Last Wish,481757663,2022
Mamma Mia! Here We Go Again,480812779,2018
Jaws,477220580,1975
Home Alone,476684675,1990
Ant-Man and the Wasp: Quantumania,476071180,2023
Hotel Transylvania 2,475186976,2015
Charlie and the Chocolate Factory,474968763,2005
San Andreas,474609154,2015
Indiana Jones and the Last Crusade,474171806,1989
It Chapter Two,473123154,2019
The King's Speech,472088310,2010
La La Land,471991358,2016
Wreck-It Ralph,471222889,2012
The Lego Movie,470759687,2014
Godzilla vs. Kong,470116094,2021
The Hangover,469328922,2009
Lucy,469058574,2014
Bumblebee,467989645,2018
The Matrix,467840449,1999
Star Trek Into Darkness,467365246,2013
Gladiator,465389619,2000
Pretty Woman,463406268,1990
Cars,461996328,2006
The Eight Hundred,461421559,2020
X-Men: The Last Stand,460435291,2006
Moon Man,460237662,2022
National Treasure: Book of Secrets,459242249,2007
The Greatest Showman,459117202,2017
Mission: Impossible,457696391,1996
300,456082343,2007
The Last Samurai,454627263,2003
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,453230408,2020
Dying to Survive,451183391,2018
Ocean's Eleven,450717150,2001
"My People, My Country",450064993,2019
Pokémon: Detective Pikachu,450063166,2019
Thor,449326618,2011
Pearl Harbor,449220945,2001
Tarzan,448191819,1999
Men in Black II,445135288,2002
The Bourne Ultimatum,444100035,2007
The Mummy Returns,443284916,2001
Alvin and the Chipmunks: The Squeakquel,443140005,2009
Les Misérables,442757529,2012
Mrs. Doubtfire,441286195,1993
Terminator Genisys,440603537,2015
John Wick: Chapter 4,440180275,2023
Warcraft,439048914,2016
Transformers: Rise of the Beasts,438966392,2023
A Star Is Born,436433122,2018
Aquaman and the Lost Kingdom,434381226,2023
Terminator 3: Rise of the Machines,433371112,2003
Shang-Chi and the Legend of the Ten Rings,432243292,2021
Die Another Day,431971116,2002
The Secret Life of Pets 2,431164459,2019
The Exorcist,430872776,1973
Cast Away,429632142,2000
Rampage,428128399,2018
The Matrix Revolutions,427344325,2003
The Intouchables,426590315,2011
Bad Boys for Life,426505244,2020
Django Unchained,426076293,2012
Beauty and the Beast,424967620,1991
Dances with Wolves,424208848,1990
"My People, My Homeland",422390820,2020
The Chronicles of Narnia: Prince Caspian,419665568,2008
Sex and the City,418769972,2008
The Mummy,417643286,1999
The Captain,417282021,2019
The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,2010
Jason Bourne,415484914,2016
The Wolverine,414828246,2013
Kingsman: The Secret Service,414351546,2015
Night at the Museum: Battle of the Smithsonian,413106170,2009
Batman,411569241,1989
The Bodyguard,411046449,1992
Pacific Rim,411002906,2013
Kingsman: The Golden Circle,410902662,2017
TRON: Legacy,409912713,2010
The Mummy,409231607,2017
Ice Age: Collision Course,408754975,2016
Twilight,408494931,2008
Sing 2,408402685,2021
Signs,408247917,2002
X2: X-Men United,407711549,2003
Dune,407573628,2021
Fantastic Beasts: The Secrets of Dumbledore,407150844,2022
Uncharted,407141258,2022
The Wolf of Wall Street,407039432,2013
Sonic the Hedgehog 2,405421518,2022
Alita: Battle Angel,404980543,2019
The Mummy: Tomb of the Dragon Emperor,403449830,2008
Prometheus,403354469,2012
Gone with the Wind,402382193,1939
Eternals,402064899,2021
Bad Boys: Ride or Die,401992323,2024
Mission: Impossible III,398479497,2006
Meg 2: The Trench,397700317,2023
Kingdom of the Planet of the Apes,397378150,2024
Snow White and the Huntsman,396592829,2012
Grease,396271103,1978
Toy Story,394436586,1995
Black Adam,393452111,2022
Solo: A Star Wars Story,392924807,2018
Superman Returns,391081192,2006
Robin Hood: Prince of Thieves,390493908,1991
1917,390411425,2019
Raiders of the Lost Ark,389925971,1981
Independence Day: Resurgence,389681935,2016
Live Free or Die Hard,388156011,2007
Godzilla: King of the Monsters,387300138,2019
Monster Hunt,387053506,2015
Home,386041607,2015
Star Trek,385681768,2009
Back to the Future,384577472,1985
Happy Feet,384336108,2006
Spider-Man: Into the Spider-Verse,384298736,2018
Indiana Jones and the Dial of Destiny,383963057,2023
Cars 3,383930656,2017
Ice Age,383257136,2002
Your Name.,382241103,2016
Fifty Shades Darker,381545846,2017
Monsters vs. Aliens,381509870,2009
Mad Max: Fury Road,380437267,2015
Black Widow,379751655,2021
Godzilla,379014294,1998
True Lies,378882411,1994
Slumdog Millionaire,378411362,2008
Once Upon a Time... in Hollywood,377617681,2019
Edge of Tomorrow,377044245,2014
Taken 2,376152455,2012
G.I. Joe: Retaliation,375740705,2013
Batman Begins,375325692,2005
Shark Tale,374583879,2004
What Women Want,374111707,2000
The Adventures of Tintin,373994233,2011
Penguins of Madagascar,373515621,2014
X-Men Origins: Wolverine,373062864,2009
The Golden Compass,372234864,2007
Fifty Shades Freed,371985018,2018
Hitch,371594210,2005
Terminator Salvation,371353001,2009
Gone Girl,370890259,2014
Captain America: The First Avenger,370569774,2011
There's Something About Mary,369884651,1998
The Fugitive,368875760,1993
Jurassic Park III,368780809,2001
My Big Fat Greek Wedding,368744044,2002
Shazam!,367799011,2019
Hello Mr. Billionaire,366961907,2018
Die Hard with a Vengeance,366101666,1995
The Nun,366082797,2018
Alvin and the Chipmunks,365352546,2007
Tenet,365304105,2020
Notting Hill,363992308,1999
A Bug's Life,363258859,1998
Night at the Museum: Secret of the Tomb,363204635,2014
Ocean's Twelve,362744280,2004
Planet of the Apes,362211740,2001
The Hangover Part III,362000072,2013
The World Is Not Enough,361832400,1999
Monster Hunt 2,361682618,2018
Fast & Furious,360405638,2009
Noah,359200044,2014
The Karate Kid,359126022,2010
Home Alone 2: Lost in New York,358994850,1992
Hotel Transylvania,358375603,2012
Minority Report,358372926,2002
Spirited Away,358077486,2001
Top Gun,357288178,1986
The Legend of Tarzan,357243061,2016
American Beauty,356296601,1999
Apollo 13,355237933,1995
Rain Man,354825435,1988
The Great Gatsby,353660028,2013
Dumbo,353284621,2019
"I, Robot",353133898,2004
Basic Instinct,352927224,1992
Murder on the Orient Express,352794081,2017
X-Men: First Class,352616690,2011
The Angry Birds Movie,352333929,2016
GoldenEye,352194034,1995
Catch Me If You Can,352114312,2002
Now You See Me,351723989,2013
Hannibal,351692268,2001
The Mask,351583407,1994
Peter Rabbit,351516614,2018
Speed,350448145,1994
Dinosaur,349822765,2000
Mary Poppins Returns,349546142,2018
Deep Impact,349464664,1998
The Lorax,349305397,2012
The Maze Runner,348319861,2014
Twisters,347787340,2024
The Smurfs 2,347545360,2013
National Treasure,347512530,2004
Trolls,347337803,2016
Rush Hour 2,347325802,2001
How the Grinch Stole Christmas,346654179,2000
xXx: Return of Xander Cage,346118277,2017
Pocahontas,346079773,1995
The Hunger Games: The Ballad of Songbirds & Snakes,344357763,2023
Star Trek Beyond,343471816,2016
Alvin and the Chipmunks: Chipwrecked,342695435,2011
Wanted,342463063,2008
The Flintstones,341631208,1994
A Quiet Place,340955294,2018
Enchanted,340487869,2007
Over the Hedge,339795890,2006
300: Rise of an Empire,337580051,2014
Batman Forever,336567158,1995
Prince of Persia: The Sands of Time,336365676,2009
The Curious Case of Benjamin Button,335802786,2008
Journey 2: The Mysterious Island,335288576,2012
The Rock,335062621,1996
The Great Wall,334933831,2016
Now You See Me 2,334897606,2016
Never Say Die,334530869,2017
Bridget Jones's Diary,334273059,2001
Fantastic Four,333535934,2005
Indiana Jones and the Temple of Doom,333107271,1984
Tomorrow Never Dies,333011068,1997
Back to the Future Part II,332500002,1989
The Good Dinosaur,332207671,2015
Free Guy,331526598,2021
22 Jump Street,331333876,2014
Meet the Parents,330444045,2000
Who Framed Roger Rabbit,329803958,1988
Black Swan,329398046,2010
The Perfect Storm,328718434,2000
John Wick: Chapter 3 - Parabellum,328349908,2019
Crocodile Dundee,328203506,1986
Crazy Alien,327598891,2019
Seven,327333559,1995
The Devil Wears Prada,326715791,2006
Taken 3,326479141,2015
The Hunchback of Notre Dame,325338851,1996
A Christmas Carol,325286646,2009
The SpongeBob Movie: Sponge Out of Water,325186032,2015
Bridesmaids,324840797,2011
The Conjuring 2,322811702,2016
Schindler's List,322161245,1993
Megamind,321885765,2010
Green Book,321752656,2018
Lethal Weapon 3,321731527,1992
Robin Hood,321669741,2010
Inglourious Basterds,321460456,2009
101 Dalmatians,320689294,1996
The Conjuring,320415166,2013
Fatal Attraction,320145693,1987
Sonic the Hedgehog,319715683,2020
The Last Airbender,319713881,2010
The Polar Express,318321815,2004
The Proposal,317375435,2009
A Beautiful Mind,316791257,2001
Beverly Hills Cop,316360478,1984
Air Force One,315156409,1997
Wonder,315025930,2017
The Expendables 2,314975955,2012
Chicken Little,314432837,2005
As Good as It Gets,314178011,1997
Austin Powers: The Spy Who Shagged Me,313701294,1999
Knives Out,312897920,2019
The Lego Batman Movie,312336671,2017
Maze Runner: The Scorch Trials,312296056,2015
Resident Evil: The Final Chapter,312242626,2016
Ocean's Thirteen,311312624,2007
Little Fockers,310650585,2010
Bolt,309979994,2008
Ransom,309492681,1996
Runaway Bride,309460292,1999
The Blind Side,309231694,2009
The Ex-File 3: Return of the Exes,307592427,2017
The Fault in Our Stars,307168169,2014
The Pursuit of Happyness,307127625,2006
Rise of the Guardians,306941670,2012
Close Encounters of the Third Kind,306889114,1977
Chicago,306776732,2002
Annabelle: Creation,306592201,2017
Skyscraper,304870828,2018
A Good Day to Die Hard,304654182,2013
Mulan,304320254,1998
Dangal,303723636,2016
Passengers,303144152,2016
Battleship,303025485,2012
Liar Liar,302710615,1997
G.I. Joe: The Rise of Cobra,302469017,2009
Wrath of the Titans,301970083,2012
Fantastic Four: Rise of the Silver Surfer,301913131,2007
Hook,300854823,1991
Superman,300478449,1978
Rocky IV,300473716,1985
Rambo: First Blood Part II,300400432,1985
Resident Evil: Afterlife,300228084,2010
Van Helsing,300157638,2004
Stuart Little,300135367,1999
Beverly Hills Cop II,299965036,1987
Alice Through the Looking Glass,299820798,2016
My Best Friend's Wedding,299288605,1997
Real Steel,299268508,2011
Migration,299185578,2023
Horton Hears a Who!,298572799,2008
Ocean's Eight,297795726,2018
A Quiet Place Part II,297372261,2021
The Divergent Series: Insurgent,297002527,2015
Look Who's Talking,296999813,1989
Austin Powers in Goldmember,296938801,2002
Ghostbusters,296578797,1984
Miss Peregrine's Home for Peculiar Children,296482446,2016
X-Men,296339528,2000
Ferdinand,296069199,2017
Shutter Island,294943423,2010
Doctor Dolittle,294456605,1998
Bee Movie,293514336,2007
Salt,293503354,2010
G-Force,292817898,2009
Five Nights at Freddy's,291493620,2023
The Departed,291481358,2006
What Lies Beneath,291420351,2000
Pacific Rim: Uprising,290930148,2018
The Bourne Supremacy,290835269,2004
Sex and the City 2,290745055,2010
Shakespeare in Love,289317794,1998
Divergent,288885818,2014
Coming to America,288752301,1988
Elvis,288670284,2022
Wedding Crashers,288485135,2005
Maze Runner: The Death Cure,288175335,2018
Casper,288039549,1995
American Pie 2,287553595,2001
Pitch Perfect 2,287144079,2015
The Green Mile,286801374,1999
Oblivion,286168572,2013
Elysium,286140700,2013
Lethal Weapon 4,285444603,1998
John Carter,284139100,2012
Turbo,282570682,2013
Paddington,282463312,2014
The Tourist,278780441,2010
Split,278454417,2017
Scary Movie,278019771,2000
xXx,277448382,2002
Blade Runner 2049,276605984,2017
Creed III,276148615,2023
The Bourne Legacy,276144750,2012
Mr. Peabody & Sherman,275698039,2014
Scooby-Doo,275679958,2002
Lincoln,275293450,2012
Tomb Raider,274950803,2018
Lara Croft: Tomb Raider,274703340,2001
The Expendables,274470394,2010
Cloudy with a Chance of Meatballs 2,274325949,2013
The Nutty Professor,273961019,1996
Jerry Maguire,273552592,1996
Bad Boys II,273340010,2003
Lilo & Stitch,273147061,2002
The Silence of the Lambs,272742922,1991
Grown Ups,271457606,2010
The Flash,271333313,2023
Neighbors,270665134,2014
The Firm,270248367,1993
We're the Millers,269994119,2012
Gran Torino,269958228,2008
"10,000 BC",269784201,2008
American Gangster,269755430,2007
The Nun II,269467073,2023
Epic,268426634,2013
Exodus: Gods and Kings,268175631,2014
This Is It,267983588,2009
Bambi,267447150,1942
The Princess and the Frog,267056816,2009
Batman Returns,266940655,1992
Indecent Proposal,266614059,1993
Something's Gotta Give,265328738,2003
Bridget Jones: The Edge of Reason,265126918,2004
The Incredible Hulk,264770996,2008
Waterworld,264218220,1995
The Truman Show,264118712,1998
Charlie's Angels,264105545,2000
The Fifth Element,263920180,1997
Jumanji,262821940,1995
Borat,262552893,2006
Robots,262511490,2005
Parasite,262129969,2019
Knight and Day,261989769,2008
Taylor Swift: The Eras Tour,261656269,2023
A Quiet Place: Day One,261564938,2024
Total Recall,261317921,1990
Terminator: Dark Fate,261119292,2019
The Lone Ranger,260502115,2013
Super 8,260095986,2011
Halloween,259939869,2018
Mojin: The Lost Legend,259368448,2015
Charlie's Angels: Full Throttle,259175788,2003
Rush Hour 3,258097122,2007
The Full Monty,257938649,1997
Kung Fu Yoga,257753889,2017
Annabelle,257589952,2014
Encanto,256786742,2021
The Village,256697520,2003
Lost in Hong Kong,256283912,2015
Erin Brockovich,256271286,2000
Us,256071218,2019
Pegasus,255863112,2019
Get Out,255751443,2016
Marley & Me,255743968,2008
Cliffhanger,255000211,1993
Wish,254997360,2023
Baahubali 2: The Conclusion,254158390,2017
Babe,254134910,1995
Men in Black: International,253890701,2019
Wild Hogs,253625427,2007
High School Musical 3: Senior Year,252909177,2008
Hercules,252712101,1997
X-Men: Dark Phoenix,252442974,2019
True Grit,252278285,2010
Dolittle,251410631,2020
Bean,251212670,1997
American Hustle,251171807,2013
Enemy of the State,250849789,1998
You've Got Mail,250821575,1998
Sound of Freedom,250570396,2023
Eragon,250425512,2006
Brother Bear,250397798,2003
The Bad Guys,250387888,2022
The Godfather,250342198,1972
The Mask of Zorro,250288523,1998
Love Actually,250215630,2003
The Ring,249348933,2002
The Blair Witch Project,248639099,1999
Unbreakable,248118121,2000
Journey to the West: The Demons Strike Back,247585244,2017
Dumb and Dumber,247290327,1994
Glass,246999039,2019
Grown Ups 2,246984278,2013
The Peanuts Movie,246233113,2015
Rango,245724603,2011
Four Weddings and a Funeral,245700832,1994
Face/Off,245676146,1997
Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,2016
Dark Shadows,245527149,2012
Hulk,245285165,2003
The Bravest,245179562,2019
Welcome to the Sticks,245144417,2008
Back to the Future Part III,245077583,1990
Pixels,244874809,2015
Hercules,244819862,2014
Rush Hour,244721064,1998
Journey to the Center of the Earth,244232688,2008
Sully,243870033,2016
It Ends with Us,243743280,2024
After Earth,243611982,2013
A Few Good Men,243240178,1992
Cloudy with a Chance of Meatballs,243006136,2009
8 Mile,242875078,2002
Daddy's Home,242786137,2015
RoboCop,242688965,2014
Eraser,242295562,1996
Alien: Covenant,240892187,2017
Assassin's Creed,240697856,2016
Click,240685326,2006
Jiang Ziya,240646355,2020
Planes,240171783,2013
Resident Evil: Retribution,240159255,2012
Die Hard 2,240031274,1990
Crocodile Dundee II,239606210,1988
Crazy Rich Asians,239343729,2018
Bullet Train,239268602,2022
Batman & Robin,238259753,1997
Howl's Moving Castle,238035537,2004
Gulliver's Travels,237382724,2010
Gone in 60 Seconds,237202299,2000
Green Lantern,237201172,2011
Saturday Night Fever,237113184,1977
Silver Linings Playbook,236412453,2012
2 Fast 2 Furious,236353236,2003
Hidden Figures,235957472,2016
A.I. Artificial Intelligence,235926635,2001
Dead Poets Society,235860116,1989
Spy,235666219,2015
American Pie,235483004,1999
American Reunion,234989584,2012
Big Daddy,234801895,1999
Alvin and the Chipmunks: The Road Chip,234798636,2015
The Imitation Game,233555708,2014
Cruella,233503234,2021
The Day the Earth Stood Still,233093859,2008
American Wedding,232722935,2003
The Girl with the Dragon Tattoo,232617430,2011
Juno,232372830,2007
Argo,232325503,2012
Mr. Bean's Holiday,232225908,2007
The English Patient,231976425,1996
Sister Act,231605150,1992
Annabelle Comes Home,231252591,2019
Constantine,230884728,2005
Get Smart,230685453,2008
Space Jam,230594962,1996
Life Is Beautiful,230099013,1998
The Heat,229930771,2013
Ghostbusters,229147509,2016
Elf,228936304,2003
The Garfield Movie,228740903,2024
Ghost Rider,228738393,2007
Goodbye Mr. Loser,228122928,2015
Sleepless in Seattle,227927165,1993
Lethal Weapon 2,227853986,1989
The Green Hornet,227817248,2011
Out of Africa,227514205,1985
Paddington 2,227309407,2017
Youth,227091290,2017
Baby Driver,226945087,2017
Immortals,226904017,2011
Taken,226837760,2008
Alien: Romulus,226815007,2024
Percy Jackson & the Olympians: The Lightning Thief,226497209,2010
Lightyear,226425420,2022
Hansel & Gretel: Witch Hunters,226349749,2013
Valerian and the City of a Thousand Planets,225973340,2017
Good Will Hunting,225933435,1997
Better Days,225833113,2019
Ford v Ferrari,225508210,2019
Jumper,225132113,2008
The Social Network,224927749,2010
Chicken Run,224888359,2000
Con Air,224012234,1997
Interview with the Vampire: The Vampire Chronicles,223664608,1994
Flightplan,223387299,2005
Yes Man,223241637,2008
Non-Stop,222809600,2014
"Honey, I Shrunk the Kids",222724172,1989
Fahrenheit 9/11,222446882,2004
Wild Wild West,222104681,1999
Geostorm,221900160,2017
"My Country, My Parents",221831086,2021
The Help,221802186,2011
Napoleon,221394838,2023
Presumed Innocent,221303188,1990
Jungle Cruise,220889446,2021
Scary Movie 3,220673217,2003
Collateral,220239925,2004
Anyone But You,220230855,2023
Inferno,220021259,2016
Knocked Up,219922417,2007
What Happens in Vegas,219375562,2008
It's Complicated,219103655,2009
The Terminal,219100084,2004
Little Women,218843645,2019
Captain Phillips,218791811,2013
The Prince of Egypt,218613188,1998
Jack Reacher,218340595,2012
Kingdom of Heaven,218237071,2005
Smallfoot,218015531,2018
The Emoji Movie,217776646,2017
Smile,217408513,2022
Too Cool to Kill,217254604,2022
Dracula Untold,217124280,2014
Central Intelligence,216940871,2016
Million Dollar Baby,216763646,2004
Twins,216614388,1988
Valentine's Day,216528528,2010
Superman II,216385706,1981
Bad Teacher,216197492,2011
A Little Red Flower,216000000,2020
The Croods: A New Age,215905815,2020
Clear and Present Danger,215887717,1994
One Hundred and One Dalmatians,215880014,1961
Ted 2,215863606,2015
Bram Stoker's Dracula,215862692,1992
Vertical Limit,215663859,2000
Ghostbusters II,215394738,1989
The Patriot,215294342,2000
The Sorcerer's Apprentice,215283742,2010
Just Go with It,214945591,2011
The Expendables 3,214657577,2014
